,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
20,1,Bitcoin,BTC,bitcoin,10565,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19549025.0,19549025.0,False,,1,,,,2023-11-21T20:45:00.000Z,37124.34871874108,22846905458.52033,6.022,0.17354544,-0.99844693,5.11903514,24.25745612,39.97558325,39.3991301,725744821211.3873,51.9597,779611323093.56,,2023-11-21T20:45:00.000Z,,,,,,2023-11-21 21:46:55.071452
21,1027,Ethereum,ETH,ethereum,7825,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120251000.41108546,120251000.41108546,True,,2,,,,2023-11-21T20:45:00.000Z,2001.714531122857,12844871508.057549,-2.1339,0.37855547,-1.60536381,1.0613343,22.01486193,25.84412952,18.53378899,240708174904.93045,17.2517,240708174904.93,,2023-11-21T20:45:00.000Z,,,,,,2023-11-21 21:46:55.071452
22,825,Tether USDt,USDT,tether,66137,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,88027089860.87794,90623279058.1096,True,,3,,,,2023-11-21T20:44:00.000Z,1.000419636574438,45498959746.98393,10.5828,0.00508149,-0.03194791,0.01994419,-0.00109121,0.00430113,0.06264706,88064029247.3249,6.3049,90661307900.5,,2023-11-21T20:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-21 21:46:55.071452
23,1839,BNB,BNB,bnb,1777,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151700178.7255253,151700178.7255253,False,,4,,,,2023-11-21T20:44:00.000Z,245.7783376182964,2287151660.7026434,86.6712,1.21206163,-4.57733842,2.2771796,14.05271479,16.84580636,12.93681058,37284617743.55806,2.6694,37284617743.56,,2023-11-21T20:44:00.000Z,,,,,,2023-11-21 21:46:55.071452
24,52,XRP,XRP,xrp,1147,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53718306475.0,99988221902.0,False,,5,,,,2023-11-21T20:45:00.000Z,0.6010294174353764,1570872506.4340425,40.0606,0.85313704,-2.88108224,-3.86135199,15.57248287,17.43478377,13.08119286,32286282446.28426,2.3115,60102941743.54,,2023-11-21T20:45:00.000Z,,,,,,2023-11-21 21:46:55.071452
25,3408,USDC,USDC,usd-coin,15052,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24451343272.413967,24451343272.413967,False,,6,,,,2023-11-21T20:44:00.000Z,1.0001664715425418,6289486436.847273,11.2463,0.01335302,0.02478336,0.00948155,0.01216431,-0.00914484,0.00354081,24455413725.245747,1.7527,24455413725.25,,2023-11-21T20:44:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-21 21:46:55.071452
26,5426,Solana,SOL,solana,551,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,422989675.9478968,562982947.1088054,True,,7,,,,2023-11-21T20:45:00.000Z,55.420388099066365,2297620072.113676,19.7846,1.75949453,-3.15336217,-1.37681127,91.96296188,186.33784835,156.26846106,23442252002.93076,1.6783,31200733421.93,,2023-11-21T20:45:00.000Z,,,,,,2023-11-21 21:46:55.071452
27,2010,Cardano,ADA,cardano,978,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35288467104.922,36365391092.904,False,,8,,,,2023-11-21T20:44:00.000Z,0.3743428667798698,426958708.2488336,9.7586,1.17544859,-3.10693118,5.35693679,43.50288492,53.69456841,39.71509006,13209985940.323631,0.9458,16845429005.09,,2023-11-21T20:44:00.000Z,,,,,,2023-11-21 21:46:55.071452
28,74,Dogecoin,DOGE,dogecoin,828,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141924776383.70526,141924776383.70526,True,,9,,,,2023-11-21T20:45:00.000Z,0.075557624323068,843269374.919592,36.7169,0.93988291,-4.94098901,4.9965547,24.09879071,23.12537143,17.78657348,10723498936.135445,0.7657,10723498936.14,,2023-11-21T20:45:00.000Z,,,,,,2023-11-21 21:46:55.071452
29,1958,TRON,TRX,tron,870,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88609442291.26091,88609514985.60675,True,,10,71659659264.0,7008487873.78725,,2023-11-21T20:44:00.000Z,0.0978024169493663,315448166.7836384,26.3384,-0.29506789,-4.17384516,-4.49468138,8.51517144,17.53484758,26.04394484,8666217620.620714,0.6211,8666224730.3,,2023-11-21T20:44:00.000Z,,,,,,2023-11-21 21:46:55.071452
30,1,Bitcoin,BTC,bitcoin,10565,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19549025.0,19549025.0,False,,1,,,,2023-11-21T20:46:00.000Z,37108.481155653535,22905371786.722507,6.2765,0.19639336,-1.02540067,5.04419744,24.196337,39.92385431,39.38924775,725434625823.8999,51.9375,779278104268.72,,2023-11-21T20:46:00.000Z,,,,,,2023-11-21 21:47:25.579101
31,1027,Ethereum,ETH,ethereum,7825,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120251000.41108546,120251000.41108546,True,,2,,,,2023-11-21T20:46:00.000Z,2001.7328591500675,12870556066.733994,-1.8555,0.450264,-1.58252235,1.05045976,22.02630013,25.8591254,18.57827109,240710378868.538,17.1858,240710378868.54,,2023-11-21T20:46:00.000Z,,,,,,2023-11-21 21:47:25.579101
32,825,Tether USDt,USDT,tether,66137,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,88027089860.87794,90623279058.1096,True,,3,,,,2023-11-21T20:45:00.000Z,1.0003448474716503,45513326911.79678,10.6195,0.01433637,-0.04312233,0.02178186,-0.0092445,0.03612573,0.05105412,88057445780.25322,6.3045,90654530266.77,,2023-11-21T20:45:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-21 21:47:25.579101
33,1839,BNB,BNB,bnb,1777,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151700178.7255253,151700178.7255253,False,,4,,,,2023-11-21T20:45:00.000Z,245.7778455228014,2291048428.427516,86.9648,1.20269789,-4.53420824,2.28887156,14.05560694,16.8581408,12.93249252,37284543092.58352,2.6694,37284543092.58,,2023-11-21T20:45:00.000Z,,,,,,2023-11-21 21:47:25.579101
34,52,XRP,XRP,xrp,1147,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53718306475.0,99988221902.0,False,,5,,,,2023-11-21T20:46:00.000Z,0.6017283978460151,1572999433.3932853,40.2565,0.95944555,-2.74936422,-3.67667195,15.69616016,17.5852714,13.17257921,32323830490.20297,2.3142,60172839784.6,,2023-11-21T20:46:00.000Z,,,,,,2023-11-21 21:47:25.579101
35,3408,USDC,USDC,usd-coin,15052,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24451343272.413967,24451343272.413967,False,,6,,,,2023-11-21T20:45:00.000Z,1.0000835474984886,6290337578.692707,11.2636,0.01931276,0.01394518,0.00630112,0.00599895,0.0030239,-0.00443222,24453386120.979065,1.7526,24453386120.98,,2023-11-21T20:45:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-21 21:47:25.579101
36,5426,Solana,SOL,solana,551,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,422989675.9478968,562982947.1088054,True,,7,,,,2023-11-21T20:46:00.000Z,55.564965124218205,2311013469.421554,20.4748,1.96105943,-2.80051653,-0.78600984,92.39485995,187.24911085,156.81315085,23503406591.94925,1.6827,31282127821.63,,2023-11-21T20:46:00.000Z,,,,,,2023-11-21 21:47:25.579101
37,2010,Cardano,ADA,cardano,978,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35288467104.922,36365391092.904,False,,8,,,,2023-11-21T20:45:00.000Z,0.3742541778069194,427181327.884732,9.8204,1.16749108,-3.10771942,5.36653805,43.47050262,53.66291127,39.67744076,13206856242.419104,0.9455,16841438001.31,,2023-11-21T20:45:00.000Z,,,,,,2023-11-21 21:47:25.579101
38,74,Dogecoin,DOGE,dogecoin,828,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141924776383.70526,141924776383.70526,True,,9,,,,2023-11-21T20:46:00.000Z,0.0756574328836881,844144964.2423255,36.7808,1.05211203,-4.79522867,5.20433853,24.24025118,23.30003255,17.9687807,10737664243.782623,0.7667,10737664243.78,,2023-11-21T20:46:00.000Z,,,,,,2023-11-21 21:47:25.579101
39,1958,TRON,TRX,tron,870,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88609442291.26091,88609514985.60675,True,,10,71659659264.0,7008231286.358804,,2023-11-21T20:45:00.000Z,0.0977988363095603,315497519.28460634,26.3638,-0.30448966,-4.16837801,-4.4897957,8.51194334,17.53975354,26.04679612,8665900342.124458,0.6211,8665907451.55,,2023-11-21T20:45:00.000Z,,,,,,2023-11-21 21:47:25.579101
40,1,Bitcoin,BTC,bitcoin,10565,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19549025.0,19549025.0,False,,1,,,,2023-11-21T20:46:00.000Z,37108.481155653535,22905371786.722507,6.2765,0.19639336,-1.02540067,5.04419744,24.196337,39.92385431,39.38924775,725434625823.8999,51.9375,779278104268.72,,2023-11-21T20:46:00.000Z,,,,,,2023-11-21 21:47:56.262648
41,1027,Ethereum,ETH,ethereum,7825,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120251000.41108546,120251000.41108546,True,,2,,,,2023-11-21T20:46:00.000Z,2001.7328591500675,12870556066.733994,-1.8555,0.450264,-1.58252235,1.05045976,22.02630013,25.8591254,18.57827109,240710378868.538,17.1858,240710378868.54,,2023-11-21T20:46:00.000Z,,,,,,2023-11-21 21:47:56.262648
42,825,Tether USDt,USDT,tether,66137,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,88027089860.87794,90623279058.1096,True,,3,,,,2023-11-21T20:45:00.000Z,1.0003448474716503,45513326911.79678,10.6195,0.01433637,-0.04312233,0.02178186,-0.0092445,0.03612573,0.05105412,88057445780.25322,6.3045,90654530266.77,,2023-11-21T20:45:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-21 21:47:56.262648
43,1839,BNB,BNB,bnb,1777,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151700178.7255253,151700178.7255253,False,,4,,,,2023-11-21T20:45:00.000Z,245.7778455228014,2291048428.427516,86.9648,1.20269789,-4.53420824,2.28887156,14.05560694,16.8581408,12.93249252,37284543092.58352,2.6694,37284543092.58,,2023-11-21T20:45:00.000Z,,,,,,2023-11-21 21:47:56.262648
44,52,XRP,XRP,xrp,1147,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53718306475.0,99988221902.0,False,,5,,,,2023-11-21T20:46:00.000Z,0.6017283978460151,1572999433.3932853,40.2565,0.95944555,-2.74936422,-3.67667195,15.69616016,17.5852714,13.17257921,32323830490.20297,2.3142,60172839784.6,,2023-11-21T20:46:00.000Z,,,,,,2023-11-21 21:47:56.262648
45,3408,USDC,USDC,usd-coin,15052,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24451343272.413967,24451343272.413967,False,,6,,,,2023-11-21T20:45:00.000Z,1.0000835474984886,6290337578.692707,11.2636,0.01931276,0.01394518,0.00630112,0.00599895,0.0030239,-0.00443222,24453386120.979065,1.7526,24453386120.98,,2023-11-21T20:45:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-21 21:47:56.262648
46,5426,Solana,SOL,solana,551,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,422989675.9478968,562982947.1088054,True,,7,,,,2023-11-21T20:46:00.000Z,55.564965124218205,2311013469.421554,20.4748,1.96105943,-2.80051653,-0.78600984,92.39485995,187.24911085,156.81315085,23503406591.94925,1.6827,31282127821.63,,2023-11-21T20:46:00.000Z,,,,,,2023-11-21 21:47:56.262648
47,2010,Cardano,ADA,cardano,978,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35288467104.922,36365391092.904,False,,8,,,,2023-11-21T20:45:00.000Z,0.3742541778069194,427181327.884732,9.8204,1.16749108,-3.10771942,5.36653805,43.47050262,53.66291127,39.67744076,13206856242.419104,0.9455,16841438001.31,,2023-11-21T20:45:00.000Z,,,,,,2023-11-21 21:47:56.262648
48,74,Dogecoin,DOGE,dogecoin,828,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141924776383.70526,141924776383.70526,True,,9,,,,2023-11-21T20:46:00.000Z,0.0756574328836881,844144964.2423255,36.7808,1.05211203,-4.79522867,5.20433853,24.24025118,23.30003255,17.9687807,10737664243.782623,0.7667,10737664243.78,,2023-11-21T20:46:00.000Z,,,,,,2023-11-21 21:47:56.262648
49,1958,TRON,TRX,tron,870,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88609442291.26091,88609514985.60675,True,,10,71659659264.0,7008231286.358804,,2023-11-21T20:45:00.000Z,0.0977988363095603,315497519.28460634,26.3638,-0.30448966,-4.16837801,-4.4897957,8.51194334,17.53975354,26.04679612,8665900342.124458,0.6211,8665907451.55,,2023-11-21T20:45:00.000Z,,,,,,2023-11-21 21:47:56.262648
